"code","state","bigquery","avro","chukwa","flume","hadoop","rhadoop","lucene","elasticsearch","logstash","kibana","splunk","mapreduce","spark","impala","oozie","solr","sqoop","storm","terracotta","hbase","hive","presto","shark","pig","mahout","zookeeper","kafka","bigtable","cassandra","couchdb","couchbase","firebird","hypertable","mongodb","neo4j","postgresql","memcached","redis","riak","weka","scikit-learn","tensorflow","total"
"AL","Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK","Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ","Arizona",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"AR","Arkansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA","California",20,40,0,30,646,0,5,67,0,0,172,95,280,70,0,35,33,99,0,140,178,0,0,173,30,42,100,20,115,0,2,0,0,309,20,179,0,5,0,0,0,0,2905
"CO","Colorado",0,0,0,0,14,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,59
"CT","Connecticut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Delaware",0,0,0,0,30,0,0,0,0,0,5,0,5,20,0,0,0,5,0,0,25,0,0,20,5,0,5,0,5,0,0,0,0,15,0,5,0,0,0,0,0,0,145
"FL","Florida",0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,30
"GA","Georgia",0,0,0,2,69,0,0,2,0,0,6,20,41,3,2,4,4,30,0,14,47,0,0,37,0,0,12,0,16,0,0,0,0,22,2,17,2,8,0,0,0,0,360
"HI","Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID","Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL","Illinois",5,15,0,5,115,0,0,19,5,5,5,30,63,0,0,5,5,13,0,30,35,0,0,30,0,15,33,5,30,0,0,0,0,20,5,25,0,0,0,0,0,0,518
"IN","Indiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12
"IA","Iowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KS","Kansas",0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,34
"KY","Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA","Louisiana",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6
"ME","Maine",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"MD","Maryland",0,0,0,0,8,0,0,10,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,50
"MA","Massachusetts",0,0,0,0,15,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,41
"MI","Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MN","Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
"MS","Mississippi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MO","Missouri",0,0,0,0,12,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,38
"MT","Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NE","Nebraska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NV","Nevada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NH","New Hampshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NJ","New Jersey",5,0,0,5,122,0,0,0,0,0,17,9,44,5,0,2,5,22,0,12,19,0,0,19,5,0,18,5,18,0,0,0,0,34,5,4,0,0,0,0,0,0,375
"NM","New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NY","New York",20,40,0,30,740,0,5,70,0,0,160,107,321,70,0,35,45,100,0,150,184,0,0,160,30,50,105,20,140,0,0,0,0,315,20,160,0,10,0,0,0,0,3087
"NC","North Carolina",0,0,0,5,60,0,0,0,0,0,10,10,20,10,10,0,15,10,0,5,15,0,0,10,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,205
"ND","North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OH","Ohio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OK","Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR","Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PA","Pennsylvania",20,40,0,30,620,0,5,65,0,0,145,85,260,70,0,35,25,85,0,140,160,0,0,155,30,40,90,20,115,0,0,0,0,305,20,160,0,5,0,0,0,0,2725
"RI","Rhode Island",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC","South Carolina",0,0,0,0,13,0,0,10,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,57
"SD","South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TN","Tennessee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TX","Texas",0,10,0,5,138,0,0,10,0,0,10,42,99,5,8,15,4,49,0,38,64,0,0,60,5,15,19,0,54,0,0,0,0,42,0,25,0,0,0,0,0,0,717
"UT","Utah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VT","Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VA","Virginia",10,15,0,10,365,0,5,55,0,0,120,30,155,40,0,10,10,40,0,70,70,0,0,70,10,10,55,10,35,0,0,0,0,220,10,110,0,5,0,0,0,0,1540
"WA","Washington",0,0,0,0,14,0,0,20,0,0,0,0,17,3,0,0,0,4,0,0,3,0,0,3,0,0,4,0,0,0,20,0,0,6,0,0,0,0,0,0,0,0,94
"WV","West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WI","Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WY","Wyoming",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
